tissue	assay	species	filename	original
Mesoderm_lateral_plate_tbx1	ATAC	danio_rerio	GSE243256_hpf11_Mesoderm_lateral_plate_tbx1.narrow_peak.gz	GSE243256_hpf11_Mesoderm_lateral_plate_tbx1.narrow_peak.gz
Neural_plate_posterior	ATAC	danio_rerio	GSE243256_hpf12_Neural_plate_posterior.narrow_peak.gz	GSE243256_hpf12_Neural_plate_posterior.narrow_peak.gz
Cardiac_muscle	ATAC	danio_rerio	GSE243256_hpf30_Cardiac_muscle.narrow_peak.gz	GSE243256_hpf30_Cardiac_muscle.narrow_peak.gz
Retina_pigmented_epithelium	ATAC	danio_rerio	GSE243256_hpf30_Retina_pigmented_epithelium.narrow_peak.gz	GSE243256_hpf30_Retina_pigmented_epithelium.narrow_peak.gz
Posterior_ventral_phox2bb	ATAC	danio_rerio	GSE243256_hpf38_Posterior_ventral_phox2bb.narrow_peak.gz	GSE243256_hpf38_Posterior_ventral_phox2bb.narrow_peak.gz
Differentiating_neurons_eomesa	ATAC	danio_rerio	GSE243256_hpf22_Differentiating_neurons_eomesa.narrow_peak.gz	GSE243256_hpf22_Differentiating_neurons_eomesa.narrow_peak.gz
Otic_placode	ATAC	danio_rerio	GSE243256_hpf38_Otic_placode.narrow_peak.gz	GSE243256_hpf38_Otic_placode.narrow_peak.gz
Periderm	ATAC	danio_rerio	GSE243256_hpf10_Periderm.narrow_peak.gz	GSE243256_hpf10_Periderm.narrow_peak.gz
Anterior_neural_ridge	ATAC	danio_rerio	GSE243256_hpf11_Anterior_neural_ridge.narrow_peak.gz	GSE243256_hpf11_Anterior_neural_ridge.narrow_peak.gz
Neural_crest_derived_mesoderm	ATAC	danio_rerio	GSE243256_hpf34_Neural_crest_derived_mesoderm.narrow_peak.gz	GSE243256_hpf34_Neural_crest_derived_mesoderm.narrow_peak.gz
Telencephalon	ATAC	danio_rerio	GSE243256_hpf42_Telencephalon.narrow_peak.gz	GSE243256_hpf42_Telencephalon.narrow_peak.gz
Lateral_line_primordium	ATAC	danio_rerio	GSE243256_hpf42_Lateral_line_primordium.narrow_peak.gz	GSE243256_hpf42_Lateral_line_primordium.narrow_peak.gz
Gut	ATAC	danio_rerio	GSE243256_hpf42_Gut.narrow_peak.gz	GSE243256_hpf42_Gut.narrow_peak.gz
