tissue	assay	species	filename	original
Muscle_Primary_3:Musclearm,fMuscleback,Muscletrunk,Muscleback,Muscleleg	ATAC	homo_sapiens	Muscle_Primary_3_ATAC.bed.gz	ENCFF159HRW,ENCFF540GTE,ENCFF973CIX,ENCFF579DGQ,ENCFF858DWY,ENCFF798DDP,ENCFF446DJH,ENCFF364IPE,ENCFF565OOC,ENCFF687RPW,ENCFF149YJX,ENCFF948ISX,ENCFF589ZCA,ENCFF451HEP,ENCFF170VCR,ENCFF636GHI,ENCFF271FGA,ENCFF478CPQ,ENCFF852MJY,ENCFF025UIS,ENCFF341QFV,ENCFF017TSD,ENCFF988XRU,ENCFF390DRV,ENCFF772DUQ,ENCFF323GJM,ENCFF051HNY
Muscle_Primary_4:PsoasMuscle	ATAC	homo_sapiens	Muscle_Primary_4_ATAC.bed.gz	ENCFF168QST
Ovary_Primary_0:Ovary	ATAC	homo_sapiens	Ovary_Primary_0_ATAC.bed.gz	ENCFF081ETZ
Pancreas_Lines_0:H9,positve,ESC,differentiated,lineage,mesoderm,Islet	ATAC	homo_sapiens	Pancreas_Lines_0_ATAC.bed.gz	ENCFF328ESU
Pancreas_Primary_0:Pancreas	ATAC	homo_sapiens	Pancreas_Primary_0_ATAC.bed.gz	ENCFF403IJE
Periodontal Ligament_Primary_1:Fibroblasts,Periodontal,Ligament	ATAC	homo_sapiens	Periodontal Ligament_Primary_1_ATAC.bed.gz	ENCFF024INY,ENCFF337TTZ
Placenta_Primary_1:Trophoblast	ATAC	homo_sapiens	Placenta_Primary_1_ATAC.bed.gz	ENCFF337XVR,ENCFF257AIT
Placenta_Primary_2:Trophoblast	ATAC	homo_sapiens	Placenta_Primary_2_ATAC.bed.gz	ENCFF188CAW,ENCFF424JGH,ENCFF266OOL
Placenta_Primary_3:Trophoblast	ATAC	homo_sapiens	Placenta_Primary_3_ATAC.bed.gz	ENCFF315ULT
Placenta_Primary_4:Placenta	ATAC	homo_sapiens	Placenta_Primary_4_ATAC.bed.gz	ENCFF509BWQ
Placenta_Primary_5:fPlacenta,Placenta	ATAC	homo_sapiens	Placenta_Primary_5_ATAC.bed.gz	ENCFF918QUG,ENCFF487KZL,ENCFF680YYR,ENCFF143EQK,ENCFF845FYY,ENCFF118PSV,ENCFF953YQQ,ENCFF156TZI,ENCFF576FAF,ENCFF529MRR,ENCFF084UVH,ENCFF593AWN
Placenta_Primary_6:Fibroblasts,Mesenchymal,Villous	ATAC	homo_sapiens	Placenta_Primary_6_ATAC.bed.gz	ENCFF388SLQ
Pleura_Cancer_1:carcinoma,cancer,mesothelioma,squamous,metastatic,Lung,epithelial	ATAC	homo_sapiens	Pleura_Cancer_1_ATAC.bed.gz	ENCFF461HPL,ENCFF493JKO
Prostate_Cancer_1:prostate,adenocarcinoma	ATAC	homo_sapiens	Prostate_Cancer_1_ATAC.bed.gz	ENCFF015ICH,ENCFF658UUI
Prostate_Cancer_2:prostate,grade,4,adenocarcinoma	ATAC	homo_sapiens	Prostate_Cancer_2_ATAC.bed.gz	ENCFF176OMF,ENCFF625QKW
Prostate_Primary_1:Prostate,Epithelial	ATAC	homo_sapiens	Prostate_Primary_1_ATAC.bed.gz	ENCFF939VCZ,ENCFF329UDK
Pulmonary Artery_Primary_1:Pulmonary,Artery,Fibroblasts	ATAC	homo_sapiens	Pulmonary Artery_Primary_1_ATAC.bed.gz	ENCFF031LZU,ENCFF537ETM
Skin_Cancer_1:skin,malignant,melanoma	ATAC	homo_sapiens	Skin_Cancer_1_ATAC.bed.gz	ENCFF571YMZ,ENCFF567RBP
Skin_Cancer_2:epitheliallike,as,monolayer,adherent,grows,malignant,melanoma	ATAC	homo_sapiens	Skin_Cancer_2_ATAC.bed.gz	ENCFF139TUQ,ENCFF457HME
Skin_Lines_1:line,FibroblastsMyc,fibroblasts,Adherent,Foreskin,Skin,Transgene	ATAC	homo_sapiens	Skin_Lines_1_ATAC.bed.gz	ENCFF199NHK,ENCFF245WCO,ENCFF265UVV,ENCFF885EMA,ENCFF354XPO,ENCFF085MQG,ENCFF099GHU,ENCFF489PIQ
